file,plate,versuch,thickness,diameter,hole,start_time,end_time,axis,sign,usable,annotated
Bo7_P2_Force_20251205_B3.3.csv,2,1,10,3.3,Bo7,1.1700817429067902,6.873805521362908,pos_x,1,True,True
Bo8_P2_Force_20251205_B3.3.csv,2,1,10,3.3,Bo8,1.934062305185948,8.219434009166878,pos_x,1,True,True
Bo9_P2_Force_20251205_B3.3.csv,2,1,10,3.3,Bo9,6.0773984203501765,13.491764019633852,pos_x,1,True,True
Bo1_P2_Force_20251205_B5.csv,2,3,4,5.0,Bo1,10.013288269984983,14.374219123642286,pos_z,-1,True,True
Bo2_P2_Force_20251205_B5.csv,2,3,4,5.0,Bo2,2.8670142294288414,8.769768745302615,pos_y,-1,True,True
Bo3_P2_Force_20251205_B5.csv,2,3,4,5.0,Bo3,5.631386891910667,10.453739736393223,pos_z,-1,True,True
Bo4_P2_Force_20251205_B5.csv,2,3,4,5.0,Bo4,8.67473274390486,13.588305324147116,pos_z,-1,True,True
Bo5_P2_Force_20251205_B5.csv,2,3,4,5.0,Bo5,8.315820383292616,16.138093287030177,pos_z,-1,False,True
Bo6_P2_Force_20251205_B5.csv,2,1,4,5.0,Bo6,7.108221933693962,14.187226745498426,pos_z,-1,True,True
Bo7_P2_Force_20251205_B5.csv,2,1,4,5.0,Bo7,6.5875326136889125,10.499296290127507,pos_z,-1,True,True
Bo8_P2_Force_20251205_B5.csv,2,1,4,5.0,Bo8,,,pos_z,1,False,True
Bo10_P3_Force_20251205_B3.3.csv,3,1,4,3.3,Bo10,6.196535538207763,10.503487537326802,pos_z,-1,True,True
Bo11_P3_Force_20251205_B3.3.csv,3,1,4,3.3,Bo11,3.2201975470636164,8.347624127077827,pos_z,-1,True,True
Bo12_P3_Force_20251205_B3.3.csv,3,1,4,3.3,Bo12,7.0968724158478365,10.203770597913739,pos_z,-1,True,True
Bo13_P3_Force_20251205_B3.3.csv,3,1,4,3.3,Bo13,2.725795343019499,6.309944219647191,pos_z,-1,True,True
Bo14_P3_Force_20251205_B3.3.csv,3,1,4,3.3,Bo14,2.3687762663891645,5.172324165685816,pos_z,-1,True,True
Bo15_P3_Force_20251205_B3.3.csv,3,1,4,3.3,Bo15,2.8706301183526097,5.853808882293942,pos_z,-1,True,True
Bo16_P3_Force_20251205_B3.3.csv,3,1,4,3.3,Bo16,3.243571832635221,5.888421135030915,pos_z,-1,True,True
Bo17_P3_Force_20251205_B3.3.csv,3,1,4,3.3,Bo17,9.325456380493357,14.031488502004343,pos_z,1,True,True
Bo18_P3_Force_20251205_B3.3.csv,3,1,4,3.3,Bo18,3.1142343839665783,5.529771955783042,pos_z,-1,True,True
Bo19_P3_Force_20251205_B3.3.csv,3,1,4,3.3,Bo19,4.4598783107855215,7.1343639308614275,pos_z,-1,True,True
Bo1_P3_Force_20251205_B3.3.csv,3,1,4,3.3,Bo1,3.7992225688889114,9.905873335788122,pos_z,-1,True,True
Bo20_P3_Force_20251205_B3.3.csv,3,1,4,3.3,Bo20,3.8794664145777618,6.297640666828027,pos_z,-1,True,True
Bo21_P3_Force_20251205_B3.3.csv,3,1,4,3.3,Bo21,,,pos_z,1,False,True
Bo2_P3_Force_20251205_B3.3.csv,3,1,4,3.3,Bo2,3.6097226047505586,6.852042730557983,pos_z,-1,True,True
Bo3_P3_Force_20251205_B3.3.csv,3,1,4,3.3,Bo3,1.701892802373044,7.034797727659992,pos_z,-1,True,True
Bo4_P3_Force_20251205_B3.3.csv,3,1,4,3.3,Bo4,6.092331798754454,9.698872943476278,pos_z,-1,True,True
Bo5_P3_Force_20251205_B3.3.csv,3,1,4,3.3,Bo5,6.153422436478678,10.194195961446669,pos_z,-1,True,True
Bo6_P3_Force_20251205_B3.3.csv,3,1,4,3.3,Bo6,2.5895350809670137,6.844670986274382,pos_z,-1,True,True
Bo7_P3_Force_20251205_B3.3.csv,3,1,4,3.3,Bo7,4.979740305828542,8.27963293529494,pos_z,-1,True,True
Bo8_P3_Force_20251205_B3.3.csv,3,1,4,3.3,Bo8,4.989814082674254,10.394299974040383,pos_z,1,False,True
Bo9_P3_Force_20251205_B3.3.csv,3,1,4,3.3,Bo9,5.257565748011267,7.142214801190288,pos_z,1,False,True
Bo10_P4_Force_20251205_B5.csv,4,1,4,5.0,Bo10,1.6139177109735898,6.624375635434688,pos_z,-1,True,True
Bo11_P4_Force_20251205_B5.csv,4,1,4,5.0,Bo11,4.1562802496360165,7.367701098523986,pos_z,-1,True,True
Bo12_P4_Force_20251205_B5.csv,4,1,4,5.0,Bo12,4.077608050739226,7.109432180563344,pos_z,-1,True,True
Bo13_P4_Force_20251205_B5.csv,4,1,4,5.0,Bo13,3.441211514384154,6.129954885697393,pos_z,-1,True,True
Bo14_P4_Force_20251205_B5.csv,4,1,4,5.0,Bo14,1.9358496833681067,6.961693568560435,pos_z,-1,True,True
Bo15_P4_Force_20251205_B5.csv,4,1,4,5.0,Bo15,4.12051066872653,6.8541105103142765,pos_z,-1,True,True
Bo16_P4_Force_20251205_B5.csv,4,1,4,5.0,Bo16,4.363547436821088,7.3263945266604455,pos_z,-1,True,True
Bo17_P4_Force_20251205_B5.csv,4,1,4,5.0,Bo17,2.7740015289134443,6.225125371704527,pos_z,-1,True,True
Bo18_P4_Force_20251205_B5.csv,4,1,4,5.0,Bo18,3.2342005727738155,6.552236068888864,pos_z,-1,True,True
Bo19_P4_Force_20251205_B5.csv,4,1,4,5.0,Bo19,3.8035213528336085,7.4527807771960175,pos_z,-1,True,True
Bo1_P4_Force_20251205_B5.csv,4,1,4,5.0,Bo1,6.62684193049296,8.969785916287098,pos_z,-1,True,True
Bo20_P4_Force_20251205_B5.csv,4,1,4,5.0,Bo20,2.493576795475751,6.431375805284989,pos_z,-1,True,True
Bo21_P4_Force_20251205_B5.csv,4,1,4,5.0,Bo21,2.779920721104686,6.320143159424836,pos_z,-1,True,True
Bo22_P4_Force_20251205_B5.csv,4,1,4,5.0,Bo22,2.877634464829254,6.939688080739163,pos_z,-1,True,True
Bo23_P4_Force_20251205_B5.csv,4,1,4,5.0,Bo23,2.3182622722352675,6.515404554907385,pos_z,-1,True,True
Bo24_P4_Force_20251205_B5.csv,4,1,4,5.0,Bo24,,,pos_z,1,False,True
Bo2_P4_Force_20251205_B5.csv,4,1,4,5.0,Bo2,3.8816537085575895,8.202933136706738,pos_z,-1,True,True
Bo3_P4_Force_20251205_B5.csv,4,1,4,5.0,Bo3,6.342246570502646,9.559987274148808,pos_z,-1,True,True
Bo4_P4_Force_20251205_B5.csv,4,1,4,5.0,Bo4,4.463515603675012,9.333298994545418,pos_z,-1,True,True
Bo5_P4_Force_20251205_B5.csv,4,1,4,5.0,Bo5,5.3761868733275335,8.98376311200653,pos_z,-1,True,True
Bo6_P4_Force_20251205_B5.csv,4,1,4,5.0,Bo6,3.325540707271103,8.972024854308806,pos_z,-1,True,True
Bo7_P4_Force_20251205_B5.csv,4,1,4,5.0,Bo7,2.5855316270248703,4.7400023955695945,pos_z,-1,True,True
Bo8_P4_Force_20251205_B5.csv,4,1,4,5.0,Bo8,3.5530588117115895,6.320294565281368,pos_z,-1,True,True
Bo9_P4_Force_20251205_B5.csv,4,1,4,5.0,Bo9,3.1065107895665927,6.995862785331503,pos_z,-1,True,True
Bo10_P5_Force_20251205_B5.csv,5,1,4,5.0,Bo10,2.2177258372906756,4.027493030058187,pos_z,1,False,True
Bo11_P5_Force_20251205_B5.csv,5,1,4,5.0,Bo11,3.2289962059053323,6.2215698884673305,pos_x,1,True,True
Bo12_P5_Force_20251205_B5.csv,5,1,4,5.0,Bo12,1.8151252196482295,4.726732272568505,pos_x,1,True,True
Bo13_P5_Force_20251205_B5.csv,5,1,4,5.0,Bo13,1.0995741424181875,3.5955500096304718,pos_x,1,True,True
Bo14_P5_Force_20251205_B5.csv,5,1,4,5.0,Bo14,3.011387843199341,5.324886246027282,pos_x,1,True,True
Bo15_P5_Force_20251205_B5.csv,5,1,4,5.0,Bo15,3.399913429652785,5.818471114304129,pos_z,1,False,True
Bo16_P5_Force_20251205_B5.csv,5,1,4,5.0,Bo16,1.9445074980500778,4.789098516321747,pos_z,1,False,True
Bo17_P5_Force_20251205_B5.csv,5,1,4,5.0,Bo17,,,pos_z,1,False,True
Bo18_P5_Force_20251205_B5.csv,5,1,4,5.0,Bo18,3.2169842016400136,5.857694502097841,pos_z,1,False,True
Bo19_P5_Force_20251205_B5.csv,5,1,4,5.0,Bo19,3.2878487504931266,5.88947178278136,pos_x,1,True,True
Bo1_P5_Force_20251205_B5.csv,5,1,4,5.0,Bo1,4.082152047538055,9.228657071341841,pos_x,1,True,True
Bo20_P5_Force_20251205_B5.csv,5,1,4,5.0,Bo20,12.687713227943263,15.856790489336273,pos_z,1,False,True
Bo21_P5_Force_20251205_B5.csv,5,1,4,5.0,Bo21,3.1130780839672303,5.465421285179297,pos_x,1,True,True
Bo22_P5_Force_20251205_B5.csv,5,1,4,5.0,Bo22,,,pos_z,1,False,True
Bo23_P5_Force_20251205_B5.csv,5,1,4,5.0,Bo23,,,pos_z,1,False,True
Bo2_P5_Force_20251205_B5.csv,5,1,4,5.0,Bo2,2.499185236028203,5.049050570289944,pos_x,1,True,True
Bo3_P5_Force_20251205_B5.csv,5,1,4,5.0,Bo3,2.9714063764574288,5.5040297776354565,pos_x,1,True,True
Bo4_P5_Force_20251205_B5.csv,5,1,4,5.0,Bo4,2.7463776859136066,5.9028466266433695,pos_x,1,True,True
Bo5_P5_Force_20251205_B5.csv,5,1,4,5.0,Bo5,2.403913874000194,6.189818232178094,pos_z,1,False,True
Bo6_P5_Force_20251205_B5.csv,5,1,4,5.0,Bo6,2.4716933374120735,5.180969344191251,pos_z,1,False,True
Bo7_P5_Force_20251205_B5.csv,5,1,4,5.0,Bo7,3.2330136013361974,6.094396857434877,pos_z,1,False,True
Bo8_P5_Force_20251205_B5.csv,5,1,4,5.0,Bo8,,,pos_z,1,False,True
Bo9_P5_Force_20251205_B5.csv,5,1,4,5.0,Bo9,2.2030859773738887,4.534186753074703,pos_x,1,True,True
Bo10_P6_Force_20251205_B5.csv,6,1,4,5.0,Bo10,4.697328193508421,7.13180484105774,pos_z,1,False,True
Bo11_P6_Force_20251205_B5.csv,6,1,4,5.0,Bo11,,,pos_z,1,False,True
Bo12_P6_Force_20251205_B5.csv,6,1,4,5.0,Bo12,1.5882186270806038,4.341377932589495,pos_x,1,True,True
Bo13_P6_Force_20251205_B5.csv,6,1,4,5.0,Bo13,1.3767195444637426,4.218784307291667,pos_x,1,True,True
Bo14_P6_Force_20251205_B5.csv,6,1,4,5.0,Bo14,1.5836144208996537,4.796517741170494,pos_z,1,False,True
Bo15_P6_Force_20251205_B5.csv,6,1,4,5.0,Bo15,2.5174665694392964,5.589157825913484,pos_x,1,True,True
Bo16_P6_Force_20251205_B5.csv,6,1,4,5.0,Bo16,3.458165203065697,6.968149410392003,pos_z,1,False,True
Bo17_P6_Force_20251205_B5.csv,6,1,4,5.0,Bo17,2.660196345607548,5.4609392606671046,pos_z,1,False,True
Bo18_P6_Force_20251205_B5.csv,6,1,4,5.0,Bo18,4.078362022056652,7.059062763395779,pos_x,1,True,True
Bo19_P6_Force_20251205_B5.csv,6,1,4,5.0,Bo19,3.0757894246110586,6.04255287774793,pos_x,1,True,True
Bo1_P6_Force_20251205_B5.csv,6,1,4,5.0,Bo1,6.98443517285403,13.08757995045633,pos_x,1,True,True
Bo20_P6_Force_20251205_B5.csv,6,1,4,5.0,Bo20,2.2030405878583217,4.480365554535305,pos_z,1,False,True
Bo21_P6_Force_20251205_B5.csv,6,1,4,5.0,Bo21,2.3726204757143927,4.292350311076969,pos_x,1,True,True
Bo22_P6_Force_20251205_B5.csv,6,1,4,5.0,Bo22,2.4167792299529185,4.403280378494853,pos_z,1,False,True
Bo23_P6_Force_20251205_B5.csv,6,1,4,5.0,Bo23,3.55923967880239,7.095716295759334,pos_z,1,False,True
Bo24_P6_Force_20251205_B5.csv,6,1,4,5.0,Bo24,,,pos_z,1,False,True
Bo2_P6_Force_20251205_B5.csv,6,1,4,5.0,Bo2,,,pos_z,1,False,True
Bo3_P6_Force_20251205_B5.csv,6,1,4,5.0,Bo3,2.3659068681455424,5.4801583276484545,pos_x,1,True,True
Bo4_P6_Force_20251205_B5.csv,6,1,4,5.0,Bo4,2.9366459628722232,8.388793793190928,pos_x,1,False,True
Bo5_P6_Force_20251205_B5.csv,6,1,4,5.0,Bo5,2.157559334872508,5.460628363769732,pos_x,1,True,True
Bo6_P6_Force_20251205_B5.csv,6,1,4,5.0,Bo6,1.864046683673866,5.597309193253436,pos_x,1,True,True
Bo7_P6_Force_20251205_B5.csv,6,1,4,5.0,Bo7,3.0402137144401644,6.069026241257612,pos_x,1,True,True
Bo8_P6_Force_20251205_B5.csv,6,1,4,5.0,Bo8,3.7440341909188444,6.823393789622663,pos_x,1,True,True
Bo9_P6_Force_20251205_B5.csv,6,1,4,5.0,Bo9,2.3454875662397363,5.159036330225295,pos_x,1,True,True
Bo10_P7_Force_20251205_B3.3.csv,7,1,4,3.3,Bo10,1.6177012207695736,6.040044198678344,pos_x,1,True,True
Bo11_P7_Force_20251205_B3.3.csv,7,1,4,3.3,Bo11,2.700701964169303,5.051875118903298,pos_x,1,True,True
Bo12_P7_Force_20251205_B3.3.csv,7,1,4,3.3,Bo12,1.4365371179576012,4.747860213365487,pos_x,1,True,True
Bo13_P7_Force_20251205_B3.3.csv,7,1,4,3.3,Bo13,1.0322626944010627,4.1297054990569135,pos_z,1,True,True
Bo14_P7_Force_20251205_B3.3.csv,7,1,4,3.3,Bo14,0.6315265444010505,2.9797856494304895,pos_x,1,True,True
Bo15_P7_Force_20251205_B3.3.csv,7,1,4,3.3,Bo15,2.630242841910483,5.69617136397658,pos_x,1,True,True
Bo16_P7_Force_20251205_B3.3.csv,7,1,4,3.3,Bo16,1.570638848910451,5.519654743995165,pos_x,1,True,True
Bo17_P7_Force_20251205_B3.3.csv,7,1,4,3.3,Bo17,1.7353230434483509,4.96644755814358,pos_x,1,True,True
Bo18_P7_Force_20251205_B3.3.csv,7,1,4,3.3,Bo18,1.4423484473191976,4.215068192949111,pos_x,1,True,True
Bo19_P7_Force_20251205_B3.3.csv,7,1,4,3.3,Bo19,0.8591659564283678,3.5215632472508496,pos_x,1,True,True
Bo1_P7_Force_20251205_B3.3.csv,7,1,4,3.3,Bo1,3.360124243227375,8.046314192673547,pos_x,1,True,True
Bo20_P7_Force_20251205_B3.3.csv,7,1,4,3.3,Bo20,,,pos_z,1,False,True
Bo21_P7_Force_20251205_B3.3.csv,7,1,4,3.3,Bo21,1.3921913678654465,4.211158700082859,pos_x,1,True,True
Bo22_P7_Force_20251205_B3.3.csv,7,1,4,3.3,Bo22,0.9090977606989369,3.850982599551116,pos_x,1,True,True
Bo23_P7_Force_20251205_B3.3.csv,7,1,4,3.3,Bo23,1.1569366711290694,3.3576505264163075,pos_x,1,True,True
Bo24_P7_Force_20251205_B3.3.csv,7,1,4,3.3,Bo24,1.7153813619449754,4.662037614094752,pos_x,1,True,True
Bo25_P7_Force_20251205_B3.3.csv,7,1,4,3.3,Bo25,1.5418310637408155,4.798164133650321,pos_x,1,True,True
Bo2_P7_Force_20251205_B3.3.csv,7,1,4,3.3,Bo2,1.7287492207084612,4.099870905313739,pos_z,1,False,True
Bo3_P7_Force_20251205_B3.3.csv,7,1,4,3.3,Bo3,,,pos_z,1,False,True
Bo4_P7_Force_20251205_B3.3.csv,7,1,4,3.3,Bo4,1.5554798479367333,3.78441894982921,pos_x,1,True,True
Bo5_P7_Force_20251205_B3.3.csv,7,1,4,3.3,Bo5,2.477336319726958,5.301537782642718,pos_x,1,True,True
Bo6_P7_Force_20251205_B3.3.csv,7,1,4,3.3,Bo6,1.1004141036483552,3.4967329690173514,pos_x,1,False,True
Bo7_P7_Force_20251205_B3.3.csv,7,1,4,3.3,Bo7,1.86666862217058,4.171036039548954,pos_x,1,True,True
Bo8_P7_Force_20251205_B3.3.csv,7,1,4,3.3,Bo8,2.659768081828743,6.707942803151861,pos_x,1,True,True
Bo9_P7_Force_20251205_B3.3.csv,7,1,4,3.3,Bo9,2.4537234357450113,5.761659195552218,pos_z,1,False,True
Bo10_P8_Force_20251205_B3.3.csv,8,1,4,3.3,Bo10,0.6150698105521804,3.24636596388116,pos_x,1,True,True
Bo11_P8_Force_20251205_B3.3.csv,8,1,4,3.3,Bo11,1.148140927069348,5.011565399506626,pos_x,1,True,True
Bo12_P8_Force_20251205_B3.3.csv,8,1,4,3.3,Bo12,1.7975709548121783,5.572373345501026,pos_x,1,True,True
Bo13_P8_Force_20251205_B3.3.csv,8,1,4,3.3,Bo13,1.193903544349818,4.848947210423107,pos_x,1,True,True
Bo14_P8_Force_20251205_B3.3.csv,8,1,4,3.3,Bo14,1.071575060981465,4.538300498686407,pos_x,1,True,True
Bo15_P8_Force_20251205_B3.3.csv,8,1,4,3.3,Bo15,1.059612329115978,3.632568776474714,pos_x,1,True,True
