pos_up,pos_side,tip_up,tip_side,full_up,full_side,bt_up,bt_side
-0.1910222237541099,-0.02510158589757014,0.041531013741163275,0.014301977182654038,0.0,0.0,-0.003301597184159011,-0.0026144839362493705
-0.13109086391666333,-0.040334042629457036,-0.006878187026879479,0.016331173704169255,0.0,0.0,0.00776017001714982,0.0009539642752148525
-0.12660303020364871,0.0030368714150107792,-0.02740792488730498,-0.009847364606405541,0.0,0.0,-0.015406435521216552,-0.013884350248435783
-0.10497030094178589,-0.025716628219152937,0.01549991854648112,-4.333480595300476e-05,0.0,0.0,0.005903154311105802,-0.016244457570944976
-0.15884224878012326,0.008326026462122826,-0.05200889001560245,0.0005577742567596522,0.0,0.0,-0.008609394708438536,-0.01234356951546281
-0.15974127709254338,-0.046172719300835774,-0.03902242293712049,-0.004643638612408102,0.0,0.0,-0.019683332220997773,-0.010468983913348377
-0.0810894886535926,-0.041063993122793074,-0.022441810675372584,-0.007337147459888435,0.0,0.0,-0.029270920105224023,0.009565482432654385
-0.09519554296600566,-0.04387955030313725,-0.00022137925768662406,-0.02408649987717819,0.0,0.0,-0.006588323757742083,-0.019334551802561786
-0.140849255272136,-0.051000840951239246,-0.025884253942528135,-0.02916316898029711,0.0,0.0,-0.02734697599721167,-0.012164422922951085
-0.11485364922382574,0.012687944280994942,-0.020538645975096446,0.006798754622177591,0.0,0.0,0.0016405505063878494,-0.0012746683375166462
-0.04998110272528051,0.013642961928144556,0.04452119027855368,0.012174050896026016,0.0,0.0,-0.02070394909972148,0.004286646827973341
-0.06575037565416707,-0.07938380530428928,0.03272402173499503,0.017610061945009414,0.0,0.0,0.0070619881767110615,-0.008402937222648718
-0.0609447219733585,-0.02567498531617574,0.0010557023225605533,0.024694493692288207,0.0,0.0,-0.012477197528087645,-0.012630632636157954
-0.10561465588025386,0.043373292727546676,0.04266479618684736,0.014781284367942224,0.0,0.0,-0.009334772056765965,0.01172469876489951
-0.08882589566505794,-0.06585672208679279,0.0014719930398846282,0.005288617663153777,0.0,0.0,-0.02465572239499475,-0.016195746233408068
-0.10397874655457935,-0.0022644990821364813,0.013778692784704422,-0.006858773347732702,0.0,0.0,-0.00046477398890829025,-0.007910582847494074
-0.09152256912555395,-0.029535410851697707,-0.04949936416816212,0.0013893231340304096,0.0,0.0,-0.00396835046323072,-0.002224014033182932
-0.08258206377928086,-0.006606300956420508,-0.05708685399579778,0.0017296096014300377,0.0,0.0,-0.04837916693937243,-0.00223959373840385
-0.09374071581583594,-0.01555449962681929,-0.015902802261396107,-0.012014366383987701,0.0,0.0,-0.01836624006169113,0.0021184858441093135
-0.09553746279846698,-0.07145793698822689,0.037211525374912194,-0.011301531015776807,0.0,0.0,-0.0104766378337377,0.0038854619434243454
-0.1394366318381663,0.01247373638495318,0.07712728799845657,0.03488066123472541,0.0,0.0,-0.015064348918458897,-0.0026985840825105856
-0.13402767305558916,0.03747214336681652,0.043904794165473715,0.06370681312468486,0.0,0.0,-0.02158566255031591,0.003066163099028135
-0.08921452631101834,0.010785580668231043,0.0013875617859500644,0.03949426973876341,0.0,0.0,-0.01617614831040992,0.0011018333109530376
-0.1132307390081177,0.04013430971138049,0.026137877865568745,0.04015966482008371,0.0,0.0,-0.009457285667419046,-0.03032821934280544
-0.14591857469469746,-0.008977388835321148,0.061617502370155966,0.04498066366714146,0.0,0.0,-0.028935662887992472,-0.01598387022519246
-0.11970444428189335,-0.0032476399726628635,0.07152094330549173,0.0872184394455007,0.0,0.0,-0.01793226256158456,-0.03398822579364938
-0.09799106548077278,0.011031370457789055,0.062110991735032144,0.025770013425222588,0.0,0.0,0.021121289595326668,-0.012680753354178315
-0.1325565986386102,0.047065536342512426,0.09770531485243014,0.07084051851764023,0.0,0.0,0.007969517310305638,-0.006028605399524711
-0.068795049773626,0.014801778238942048,0.12586256108680538,0.0836887057344336,0.0,0.0,-0.48255152975311816,0.2067993692162914
-0.10669840688906021,0.013331341253797771,0.07349662650941827,0.05054911716706316,0.0,0.0,0.019884586081492073,-0.01953662635866263
-0.03699646628011555,0.028598118094229383,0.02997314050684366,0.031551052712289834,0.0,0.0,0.037927817665461355,0.021393261495876736
-0.057276070210745655,0.0950032210419067,0.015957894241809434,0.00428487381099394,0.0,0.0,0.027685797161274506,0.04299448113226791
