file,angle_feed_to_world_up,base_up,base_side,full_up,full_side,dev_full_up,dev_full_side
Bo10_P2_Force_20251205_B3.3.csv,74.84920543825078,0.03325575545617387,0.023263256338863447,0.22427797921028378,0.048364842236433586,0.1910222237541099,0.02510158589757014
Bo12_P2_Force_20251205_B3.3.csv,80.25937279560992,0.02461343892064078,0.011735033174132027,0.1557043028373041,0.05206907580358906,0.13109086391666333,0.040334042629457036
Bo13_P2_Force_20251205_B3.3.csv,81.75189178054949,-0.021557820195097478,0.048192539560579686,0.10504521000855124,0.04515566814556891,0.12660303020364871,-0.0030368714150107792
Bo14_P2_Force_20251205_B3.3.csv,87.1915209997118,-0.11379183729315512,0.13460377296963624,-0.008821536351369228,0.16032040118878918,0.10497030094178589,0.025716628219152937
Bo15_P2_Force_20251205_B3.3.csv,81.56063359306098,-0.04914312694252192,0.13547137115123958,0.10969912183760136,0.12714534468911676,0.15884224878012326,-0.008326026462122826
Bo16_P2_Force_20251205_B3.3.csv,79.24258945519973,-0.0035620286467754744,0.02141943342074693,0.15617924844576792,0.0675921527215827,0.15974127709254338,0.046172719300835774
Bo17_P2_Force_20251205_B3.3.csv,84.12303133082469,-0.02058252243419402,0.020309097490113625,0.06050696621939858,0.0613730906129067,0.0810894886535926,0.041063993122793074
Bo18_P2_Force_20251205_B3.3.csv,88.19060734527179,-0.0926835947634166,0.047325513177616026,0.002511948202589051,0.09120506348075327,0.09519554296600566,0.04387955030313725
Bo19_P2_Force_20251205_B3.3.csv,78.69981448090125,0.023829633989376254,0.12349826114428597,0.16467888926151225,0.17449910209552522,0.140849255272136,0.051000840951239246
Bo1_P2_Force_20251205_B3.3.csv,89.53390694720824,-0.13379303255834238,0.08048778632662527,-0.018939383334516637,0.06779984204563033,0.11485364922382574,-0.012687944280994942
Bo22_P2_Force_20251205_B3.3.csv,81.82118345571104,0.053430131109090874,0.059494262739135634,0.10341123383437138,0.04585130081099108,0.04998110272528051,-0.013642961928144556
Bo23_P2_Force_20251205_B3.3.csv,87.39074655659698,-0.07887161279131706,0.021122922032457272,-0.013121237137149997,0.10050672733674655,0.06575037565416707,0.07938380530428928
Bo24_P2_Force_20251205_B3.3.csv,84.73973849010567,-0.028267578739092945,-0.019957670736917923,0.03267714323426555,0.0057173145792578164,0.0609447219733585,0.02567498531617574
Bo2_P2_Force_20251205_B3.3.csv,86.65993366666011,-0.0639955420635565,0.07715232747900484,0.04161911381669736,0.033779034751458166,0.10561465588025386,-0.043373292727546676
Bo3_P2_Force_20251205_B3.3.csv,81.02280220352623,-0.2848471554572842,0.032411114960165965,-0.19602125979222623,0.09826783704695875,0.08882589566505794,0.06585672208679279
Bo5_P2_Force_20251205_B3.3.csv,86.07971647450341,-0.2098453593057105,0.11661197288244834,-0.10586661275113114,0.11887647196458483,0.10397874655457935,0.0022644990821364813
Bo6_P2_Force_20251205_B3.3.csv,84.33470294566729,-0.026661119693361924,0.019604573010255134,0.06486144943219203,0.04913998386195284,0.09152256912555395,0.029535410851697707
Bo7_P2_Force_20251205_B3.3.csv,88.81473489074105,-0.09440438159266223,0.21319842735057898,-0.01182231781338138,0.2198047283069995,0.08258206377928086,0.006606300956420508
Bo8_P2_Force_20251205_B3.3.csv,85.30344978743229,-0.16977177621361175,0.1131966573704973,-0.07603106039777581,0.1287511569973166,0.09374071581583594,0.01555449962681929
Bo9_P2_Force_20251205_B3.3.csv,84.61754853153542,-0.025899278300570566,-0.003933343696643388,0.06963818449789641,0.0675245932915835,0.09553746279846698,0.07145793698822689
Bo10_P7_Force_20251205_B3.3.csv,80.64574683980766,-0.0849634551530923,0.08237858390699182,0.054473176685073996,0.06990484752203864,0.1394366318381663,-0.01247373638495318
Bo11_P7_Force_20251205_B3.3.csv,67.28642795489534,0.14820448098920458,0.051200719924217576,0.28223215404479374,0.013728576557401053,0.13402767305558916,-0.03747214336681652
Bo14_P7_Force_20251205_B3.3.csv,65.47023881875386,0.2241258145313091,0.15626154105583295,0.3133403408423274,0.1454759603876019,0.08921452631101834,-0.010785580668231043
Bo15_P7_Force_20251205_B3.3.csv,77.886506683726,-0.0013807742643857574,0.3530100295521992,0.11184996474373195,0.3128757198408187,0.1132307390081177,-0.04013430971138049
Bo16_P7_Force_20251205_B3.3.csv,87.86532650143285,-0.21935049337887264,0.23728645832583822,-0.07343191868417517,0.24626384716115937,0.14591857469469746,0.008977388835321148
Bo17_P7_Force_20251205_B3.3.csv,89.25613327222409,-0.18003235441896642,0.1773978799022857,-0.060327910137073074,0.18064551987494856,0.11970444428189335,0.0032476399726628635
Bo18_P7_Force_20251205_B3.3.csv,83.91950219439308,-0.0976488520044436,0.09412711995336051,0.00034221347632917756,0.08309574949557146,0.09799106548077278,-0.011031370457789055
Bo19_P7_Force_20251205_B3.3.csv,82.417157860648,-0.0989657182784104,0.3951242986954213,0.033590880360199776,0.3480587623529089,0.1325565986386102,-0.047065536342512426
Bo1_P7_Force_20251205_B3.3.csv,67.41749881320793,0.25412932493390705,-0.06300690850491283,0.32292437470753305,-0.07780868674385488,0.068795049773626,-0.014801778238942048
