file,plate,thickness,diameter,tip_f,rest_full_f,pre_bt_f,plateau,peak_f,tilt_stab_range,tip_cv,full_cv,Tz_tip,Tz_full,tip_radial,full_radial,tip_tilt_rate,full_tilt_rate,anticipation_s,frac_remaining,depth_end_mm,tip_dur,full_dur
Bo10_P1_Force_20251205_B3.3.csv,1,10,3.3,50.521140361111115,53.00916075213676,47.66121904166666,67.9627905,67.9627905,32.2178056566097,0.16783404872844077,0.15223898599585214,-0.05308244444444445,-0.1470342269503546,7.801255605414948,6.549250570692005,1.7430184649086806,1.1393140211258994,2.1929917885596737,18.074801162153225,10.205092885008316,1.7704148040218604,5.806653077774676
Bo11_P1_Force_20251205_B3.3.csv,1,10,3.3,44.84158581395349,59.65031368493151,45.207093,71.91562099999999,71.91562099999999,33.08129346515358,0.2684870436977749,0.24511392686374942,-0.007680790697674412,-0.11522453846153845,8.024800897611906,10.561476895419514,2.057870399510266,1.1872461628720403,7.340218508649636,99.98895650645402,9.880825877189997,0.9019603366667646,6.451705658841613
Bo12_P1_Force_20251205_B3.3.csv,1,10,3.3,58.6588722,71.31707853846154,57.722170799999994,83.370751,83.370751,30.66356739144846,0.23548942065845815,0.15883953757452024,-0.048860799999999996,-0.13743099999999997,8.68749661585248,8.471083332665588,3.7117087079656694,1.4592096026059211,1.4230718082466964,23.750935759616507,10.374797189924262,0.9352880888032771,4.326180166630699
Bo13_P1_Force_20251205_B3.3.csv,1,10,3.3,58.57425760526316,69.45450940972222,61.3963098125,77.73052849999999,77.73052849999999,34.308875656057616,0.1623305450707964,0.13139265423578841,-0.061714,-0.17719437916666667,7.642534288492857,8.432496264778809,4.454883482120785,2.0159451273450566,,,,0.39798374477389054,5.0728157600002275
Bo14_P1_Force_20251205_B3.3.csv,1,10,3.3,56.95674682051282,65.78550760270271,53.466379875,76.73056700000001,76.73056700000001,37.37455428028796,0.1772740796975241,0.16010251745369933,-0.048532589743589725,-0.1487844928229665,10.18629011310207,8.115974495205462,2.7118017295046357,2.651861078064096,5.227361429382769,99.87875256547237,10.655459518115098,0.8123261472141774,4.42029522721876
Bo15_P1_Force_20251205_B3.3.csv,1,10,3.3,45.3044444375,58.030526795454534,46.9428804,69.9874,69.9874,27.225043508049822,0.22757470928377727,0.19728417160327377,0.0977959375,-0.021273163265306125,10.894431714517697,10.28730295321626,5.449415837632028,2.1070868470471957,2.3681229996647275,27.6695562813354,10.443352790124038,1.539730275950594,4.870394651885725
Bo17_P1_Force_20251205_B3.3.csv,1,10,3.3,60.561526538461536,56.466163257281565,48.420534770833335,89.436188,89.436188,2.6459946114938244,0.18720706705516096,0.21866954457817753,0.03252669230769234,-0.16353220472440938,16.135412907026613,8.129934769848278,6.558190912040075,0.7290954059173534,4.218795035584039,60.157186633545514,10.307868685679066,1.2204536424471724,5.320029710037035
Bo18_P1_Force_20251205_B3.3.csv,1,10,3.3,57.482387884615385,67.32300085613207,60.67195697916666,85.8418465,85.8418465,35.17158763132091,0.16994188638379232,0.1630596168088856,-0.01058451923076923,-0.20379676271186445,10.503431410184625,9.005901280393541,4.72119517130533,1.478034074349428,2.655801651886229,34.83840374532037,10.918967459554688,1.0855979998026717,4.974121926239199
Bo19_P1_Force_20251205_B3.3.csv,1,10,3.3,66.72614502564102,74.46585035106384,64.12412866666666,98.22763900000001,98.22763900000001,16.522379487013882,0.20261151637111532,0.17441835642812625,-0.052800538461538475,-0.24060103773584904,21.029167280268513,11.133521011361202,1.5036916071079125,1.5870064339353354,2.7471716528493832,48.78607818755445,11.42302192628758,0.8066595477128908,4.484811080034385
Bo1_P1_Force_20251205_B3.3.csv,1,10,3.3,39.16232383606558,54.40675106071428,47.073810200000004,65.27401549999999,65.27401549999999,25.709708230360334,0.2364722782004593,0.21456231106240692,-0.10213842622950821,-0.07178977241379311,8.72768124466763,8.751411163997485,5.702682220559552,1.210603345304603,6.507774833706799,59.2077661210621,10.332721218153928,1.2658959864604578,8.8125631847657
Bo20_P1_Force_20251205_B3.3.csv,1,10,3.3,53.194162,74.92981317073172,66.98721680000001,84.23662300000001,84.23662300000001,34.34382239605157,0.22304301040480126,0.09636178066228118,0.028497875,-0.17379032608695652,9.716635548399845,7.661387953468945,2.394208534443847,1.0469169395390245,0.3644398136624547,2.9875373867620807,10.294029703738481,0.7139217796360935,4.5685239716064645
Bo21_P1_Force_20251205_B3.3.csv,1,10,3.3,64.41831092857144,76.98804456666669,62.7437876,87.137345,87.137345,40.7743368020932,0.18824357906875006,0.1305837675079812,-0.04924342857142857,-0.192951,7.160942077365704,9.923912177583682,5.847932339092806,2.3713478516438684,0.5541048457825166,12.353190746394688,10.819948783409375,1.32762829775465,3.4561615398135057
Bo22_P1_Force_20251205_B3.3.csv,1,10,3.3,60.56725234210526,81.51027924242425,74.65657489583333,94.7426695,94.7426695,34.5516900412081,0.1766608562024949,0.12247783006828598,-0.012368228070175432,-0.28986815343915345,6.268912721731965,9.210837983073352,4.700224580728176,1.8443439485092952,-0.012739955136197523,-0.46572284525035185,10.19432060075029,1.185981941464262,3.9874994171168225
Bo23_P1_Force_20251205_B3.3.csv,1,10,3.3,58.846707384615385,77.23480222857143,67.3826375,86.56563750000001,86.56563750000001,33.50711676467717,0.23357235796577067,0.12229982520897378,0.0889446923076923,-0.17098522500000002,9.435708458708572,9.559097219366265,8.783870746008693,1.298857821982318,,,,1.2075843799860113,3.9754459898690246
Bo24_P1_Force_20251205_B3.3.csv,1,10,3.3,66.40949528571429,77.64474109375,70.4633954,87.535453,87.535453,33.92349274902236,0.11871137782967435,0.12004060286150557,-0.07492857142857143,-0.2342942432432432,5.600564435184052,8.014004343935387,1.6525860116441067,0.9013155731690843,0.5920097764854457,48.74561514971267,10.130794199222345,0.6616232472842629,3.6947727140314495
Bo25_P1_Force_20251205_B3.3.csv,1,10,3.3,57.44239533333333,61.19213976086955,54.40772539999999,76.940343,76.940343,29.576226502071428,0.1690611397763708,0.19949747232920292,-0.016267166666666704,-0.1093283137254902,6.920546309561812,6.394062116051424,4.421379977894542,1.7615921755755384,2.837334503793125,39.284870386039515,10.538636999267602,0.599504939705362,5.038971771859133
Bo2_P1_Force_20251205_B3.3.csv,1,10,3.3,53.590798,65.45078198214287,63.89846229999999,88.39405400000001,88.39405400000001,32.518180575067774,0.2742707302183843,0.20224408602109312,-0.10572231034482757,-0.12194329213483147,5.822392320623025,5.681232237136984,6.356412506231462,1.840361141483133,6.838860303654865,56.16397600565547,9.827317871595797,2.871997412021193,8.840185434117465
Bo3_P1_Force_20251205_B3.3.csv,1,10,3.3,64.46883160416667,76.0251145118644,68.81494587499999,89.696488,89.696488,35.324422345533065,0.1226869258427556,0.11063943015354695,-0.16156508333333333,-0.19813637304075232,9.096290992200887,6.839051179593934,7.550609183714743,2.436389296853629,0.05517216706171979,3.027594890452146,10.09464680913505,0.7469342963799703,6.738177738427119
