timestamp,rb_id,pos_x,pos_y,pos_z,quat_x,quat_y,quat_z,quat_w
267.860915184021,1,-0.982996046543121,-0.272897511720657,0.144067913293839,-0.741238594055176,-0.205558434128761,0.608534932136536,-0.194926396012306
267.884869098663,1,-0.983181178569794,-0.272260963916779,0.145686641335487,-0.743724226951599,-0.208091154694557,0.604477643966675,-0.195395097136497
267.899287700653,1,-0.98312646150589,-0.2720607817173,0.146161586046219,-0.744284391403198,-0.208799958229065,0.603475213050842,-0.195604369044304
267.912356138229,1,-0.983008921146393,-0.272209018468857,0.145982980728149,-0.744020402431488,-0.208605006337166,0.604023933410645,-0.195122346282005
267.933306932449,1,-0.982946634292603,-0.272080630064011,0.145965054631233,-0.744063675403595,-0.208900541067123,0.603872299194336,-0.195110335946083
267.959163665771,1,-0.98290479183197,-0.272357016801834,0.144740402698517,-0.741852462291718,-0.207503244280815,0.607100427150726,-0.195003688335419
267.982842206955,1,-0.982892692089081,-0.272324949502945,0.144243732094765,-0.740986347198486,-0.207034975290298,0.60819947719574,-0.195369556546211
267.995939254761,1,-0.982833802700043,-0.272601872682571,0.143475040793419,-0.739688098430634,-0.20643176138401,0.610114455223083,-0.194955974817276
268.013003826141,1,-0.982720255851746,-0.273031532764435,0.142634868621826,-0.738159775733948,-0.2061777561903,0.612403869628906,-0.193836241960526
268.03290772438,1,-0.982525765895844,-0.273303836584091,0.142182141542435,-0.737318515777588,-0.206008434295654,0.613755404949188,-0.192941159009933
268.067004203796,1,-0.982260644435883,-0.276524305343628,0.135408774018288,-0.724370956420898,-0.194742292165756,0.633231997489929,-0.190734148025513
268.080310106277,1,-0.982222139835358,-0.278985172510147,0.131037265062332,-0.715455412864685,-0.18642570078373,0.646170437335968,-0.189295738935471
268.092511415482,1,-0.982224822044373,-0.279003471136093,0.130964279174805,-0.714954674243927,-0.185413703322411,0.646818339824677,-0.189967676997185
268.114103794098,1,-0.982246339321136,-0.278899878263474,0.130843058228493,-0.714571237564087,-0.1854647397995,0.647110939025879,-0.190363422036171
268.148153066635,1,-0.98223865032196,-0.27871036529541,0.130739331245422,-0.714345037937164,-0.18632185459137,0.647092759609222,-0.190437033772469
268.157237291336,1,-0.982196748256683,-0.278870046138763,0.130564734339714,-0.714251279830933,-0.185779944062233,0.647400498390198,-0.190272182226181
268.173738002777,1,-0.98211008310318,-0.279132634401321,0.130486354231834,-0.714457273483276,-0.184767663478851,0.647530138492584,-0.190043196082115
